"","XML_FileName","Lat","Long","Altitude","RWL_Count","CRN_Count","SpeciesLong","GenusSpp","Genus","Family","Order","Group","ModNegExp","SE_ModNegExp","P_ModNegExp","Mean","SE_Mean","P_Mean","AgeDepSpline","SE_AgeDepSpline","P_AgeDepSpline","N_years"
"TN028","noaa-tree-5506.xml",36.48,-88,170,1,0,"Pinus echinata Mill.","Pinus echinata","Pinus","Pinaceae","Pinales","Gymnosperms",0.00641520215454265,0.0206327015909916,0.756936038816681,-0.0018539350327447,0.00984420512868233,0.851255411452903,0.00756464222742933,0.0216465977798299,0.72796681187173,5
"KS012","noaa-tree-5507.xml",38.48,-96.58,408,1,0,"Quercus macrocarpa Michx.","Quercus macrocarpa","Quercus","Fagaceae","Fagales","Angiosperms",0.0257449407854168,0.0133554330003849,0.0620416588272827,0.017357119685802,0.00887730707846301,0.0585789184281543,0.0333740701545888,0.0137059042097254,0.0201279104185332,6
"WA134","noaa-tree-5542.xml",48.87,-121.68,1310,1,0,"Tsuga mertensiana (Bong.) Carrière","Tsuga mertensiana","Tsuga","Pinaceae","Pinales","Gymnosperms",0.0042885862114997,0.0156169582983913,0.784499738182929,0.00448015495854669,0.0153245224650399,0.77096317200147,0.00079786923055467,0.0220638908933935,0.971265928964104,6
"TURK038","noaa-tree-5543.xml",39.27,28.85,1650,1,0,"Pinus nigra J.F. Arnold","Pinus nigra","Pinus","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TURK040","noaa-tree-5544.xml",37.27,34.55,1800,1,0,"Juniperus excelsa M.-Bieb.","Juniperus excelsa","Juniperus","Cupressaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYPR016","noaa-tree-5545.xml",34.92,32.9,1550,1,3,"Pinus brutia Ten.","Pinus brutia","Pinus","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LEBA005","noaa-tree-5547.xml",34.13,35.82,1780,1,6,"Cedrus libani A. Rich.","Cedrus libani","Cedrus","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LEBA004","noaa-tree-5551.xml",34.23,36.03,1900,1,6,"Cedrus libani A. Rich.","Cedrus libani","Cedrus","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYPR018","noaa-tree-5552.xml",34.93,32.87,1770,1,3,"Pinus nigra J.F. Arnold","Pinus nigra","Pinus","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TURK036","noaa-tree-5553.xml",37.08,30.52,1047,1,3,"Pinus brutia Ten.","Pinus brutia","Pinus","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LEBA003","noaa-tree-5554.xml",34.3,35.98,1640,1,6,"Cedrus libani A. Rich.","Cedrus libani","Cedrus","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TURK037","noaa-tree-5555.xml",39.33,29.08,1650,1,0,"Pinus nigra J.F. Arnold","Pinus nigra","Pinus","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TURK042","noaa-tree-5557.xml",37.2,34.47,1725,1,0,"Juniperus excelsa M.-Bieb.","Juniperus excelsa","Juniperus","Cupressaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TURK041","noaa-tree-5558.xml",37.27,34.55,1790,1,0,"Juniperus excelsa M.-Bieb.","Juniperus excelsa","Juniperus","Cupressaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK086","noaa-tree-5561.xml",60.48,-154.33,550,1,3,"Picea glauca (Moench) Voss","Picea glauca","Picea","Pinaceae","Pinales","Gymnosperms",0.052220250567143,0.031211366736892,0.099038302363854,0.0256533463928955,0.0224876515449626,0.258086237618094,0.045056462455461,0.0349961743790758,0.202427629308746,3
"SWIT185","noaa-tree-6118.xml",46.63,9.78,2065,1,3,"Larix decidua Mill.","Larix decidua","Larix","Pinaceae","Pinales","Gymnosperms",-0.0296073559445494,0.0140112679493022,0.0373907207765551,-0.0343631323110127,0.0146502899216802,0.0212210411657652,-0.0405966399256487,0.0191896546877821,0.0371769529770569,7
"SWIT186","noaa-tree-6119.xml",46.63,9.78,2065,1,3,"Picea abies (L.) H. Karst.","Picea abies","Picea","Pinaceae","Pinales","Gymnosperms",0.0593834123369722,0.053512887533308,0.270924746630143,-0.00245537920536243,0.028924741573459,0.932592320189182,-0.0290453772525586,0.0893594431814662,0.746120415348637,7
"SWIT187","noaa-tree-6120.xml",47.03,9.08,620,1,3,"Pinus nigra J.F. Arnold","Pinus nigra","Pinus","Pinaceae","Pinales","Gymnosperms",-0.013353145197185,0.00932989325471755,0.155453714464026,-0.00936960007439128,0.00763308895657124,0.222488828856027,-0.0105834084218191,0.00987733475079032,0.286505457507759,7
"CANA270","noaa-tree-6146.xml",58.62,-93.8,50,1,0,"Picea glauca (Moench) Voss","Picea glauca","Picea","Pinaceae","Pinales","Gymnosperms",0.133637558529105,0.0204591449391726,3.32118999436171e-10,0.0268087364699528,0.00782248980228945,0.000707353401767428,0.210341628203995,0.0270778370442899,1.77121990506308e-13,6
"CANA243","noaa-tree-6148.xml",50.32,-94,321,1,0,"Pinus strobus L.","Pinus strobus","Pinus","Pinaceae","Pinales","Gymnosperms",-0.109890905119578,0.017612106529614,1.01109772665552e-08,-0.128025788588583,0.022703375776379,1.53317676694359e-07,-0.156014265015198,0.0589914600408372,0.00946921196745284,4
"CANA246","noaa-tree-6151.xml",50.07,-93.52,376,1,0,"Pinus resinosa Aiton","Pinus resinosa","Pinus","Pinaceae","Pinales","Gymnosperms",-0.149971981390956,0.0160599109247241,2.52727701996127e-16,-0.107157319370286,0.0120017999415544,2.64139567245065e-15,-0.163254466292315,0.0190194485016458,1.86632249582518e-14,4
"CANA247","noaa-tree-6152.xml",48.97,-91.25,355,1,0,"Pinus strobus L.","Pinus strobus","Pinus","Pinaceae","Pinales","Gymnosperms",-0.103016611698073,0.0211270078506849,1.38823912520621e-05,-0.127456184453131,0.0312004277837634,0.000178827380546683,-0.293313363057225,0.105008198946611,0.00763717968390204,3
"CANA248","noaa-tree-6153.xml",48.72,-91.17,424,1,0,"Pinus strobus L.","Pinus strobus","Pinus","Pinaceae","Pinales","Gymnosperms",0.00280407851807357,0.0202586864511606,0.890401359851569,0.00519707470925323,0.0229586330210625,0.821725876966966,0.0380332162884948,0.0347774825059003,0.278723623680431,3
"CANA249","noaa-tree-6154.xml",49.67,-93.77,430,1,0,"Pinus strobus L.","Pinus strobus","Pinus","Pinaceae","Pinales","Gymnosperms",-0.351409064404155,0.0338065860900935,8.45299598504566e-13,-0.256942984446232,0.0243190489951486,5.26689710671804e-13,-0.386346000384518,0.0385352390706372,2.37884775053217e-12,3
"CANA251","noaa-tree-6156.xml",48.67,-91.1,465,1,0,"Thuja occidentalis L.","Thuja occidentalis","Thuja","Cupressaceae","Pinales","Gymnosperms",-0.0668302347244217,0.0332625386805037,0.0527561633776572,-0.0694981590467777,0.0337546121014541,0.0474655001754473,-0.11383803251129,0.0570446662415297,0.0542870658466534,3
"CANA253","noaa-tree-6158.xml",49.68,-94.87,395,1,0,"Pinus resinosa Aiton","Pinus resinosa","Pinus","Pinaceae","Pinales","Gymnosperms",-0.144951779412511,0.0182117855325199,1.47594262809934e-12,-0.149045911669722,0.0203327454321954,3.69232887638238e-11,-0.209263659749846,0.0486764801856336,3.65451978124947e-05,4
"CANA254","noaa-tree-6159.xml",48.38,-90.75,503,1,0,"Pinus strobus L.","Pinus strobus","Pinus","Pinaceae","Pinales","Gymnosperms",-0.0574503179732799,0.0101886859939289,4.65465021244514e-08,-0.0532724755307045,0.0092091098901003,2.17943036839537e-08,-0.0677965732864974,0.0146958558222971,6.35662669247123e-06,4
"CANA256","noaa-tree-6161.xml",50.38,-93.88,321,1,0,"Pinus strobus L.","Pinus strobus","Pinus","Pinaceae","Pinales","Gymnosperms",-0.0826980835736612,0.0250214347713911,0.00131487355384339,-0.102092608432309,0.0260201135019639,0.000159333988389147,-0.139782468206779,0.0419408210729398,0.00120225680277685,4
"CANA257","noaa-tree-6162.xml",49.2,-95.35,362,1,0,"Pinus resinosa Aiton","Pinus resinosa","Pinus","Pinaceae","Pinales","Gymnosperms",-0.267503169968289,0.0262514725119879,6.28250152220997e-16,-0.157004118757188,0.0139687122795006,6.6284191420456e-18,-0.28033189940554,0.0302428140835518,3.63224082787605e-14,4
"CANA259","noaa-tree-6164.xml",50.43,-93.1,396,1,0,"Pinus resinosa Aiton","Pinus resinosa","Pinus","Pinaceae","Pinales","Gymnosperms",-0.190900738290666,0.0202907929639353,6.55117292385251e-15,-0.230180381414672,0.0254851923696296,3.86363529990628e-14,-0.506399641265535,0.100911620097245,2.73612231147943e-06,4
"CANA260","noaa-tree-6165.xml",48.72,-91.87,631,1,0,"Pinus strobus L.","Pinus strobus","Pinus","Pinaceae","Pinales","Gymnosperms",0.0231160906332259,0.0295755572559898,0.436574832961696,-0.014540199500258,0.0214519724941528,0.499695627091791,0.00311982793773017,0.0426628458915902,0.941872511170173,4
"CANA261","noaa-tree-6166.xml",49.7,-93.78,401,1,0,"Thuja occidentalis L.","Thuja occidentalis","Thuja","Cupressaceae","Pinales","Gymnosperms",-0.138257618649033,0.0242688738832771,2.66127827604368e-07,-0.110012659120172,0.0172781961424723,1.74171065699986e-08,-0.167469747923793,0.0291412117589265,2.17861396581059e-07,3
"CANA262","noaa-tree-6167.xml",49.53,-91.22,450,1,0,"Pinus strobus L.","Pinus strobus","Pinus","Pinaceae","Pinales","Gymnosperms",-0.147141246042056,0.0150880766007711,1.85892728883243e-16,-0.151725028008735,0.0158235738295516,4.36214158576316e-16,-0.206693924676614,0.0250553883503182,4.44297804358731e-13,4
"CANA264","noaa-tree-6169.xml",48.65,-91.22,411,1,0,"Pinus resinosa Aiton","Pinus resinosa","Pinus","Pinaceae","Pinales","Gymnosperms",-0.0226138684447064,0.0188727756958129,0.233500895893229,-0.0254480003160627,0.0138565354531364,0.0690809313011705,0.0243976919734903,0.0361752497748905,0.501505905693781,3
"CANA265","noaa-tree-6170.xml",49.18,-94.15,305,1,0,"Pinus resinosa Aiton","Pinus resinosa","Pinus","Pinaceae","Pinales","Gymnosperms",-0.0993047123472053,0.0161619116602902,2.1472370743295e-08,-0.0897680834569779,0.0126865203162612,3.12299260740333e-10,-0.124403532160726,0.0207749883763852,4.27974610132257e-08,4
"CANA268","noaa-tree-6173.xml",48.67,-91.08,450,1,0,"Pinus strobus L.","Pinus strobus","Pinus","Pinaceae","Pinales","Gymnosperms",-0.0663245656610251,0.0122755481286784,3.54312568613525e-07,-0.0665644587069733,0.012257041846678,3.13095627811458e-07,-0.0666635910853478,0.0156845073008241,4.33724088453666e-05,4
